coherence,direction,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,instructions.started,key_resp_2.started,begin_experiment.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,dots.started,polygon.started,fixation.started,dots.stopped,key_resp.started,fixation_respond.started,polygon.stopped,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.007755541009828448,0.019524583010934293,0.019524583010934293,1.6259814579971135,space,1.577830541995354,None,,,,,,,,,,,,,,972922,001,2025-03-07_13h29.57.980,motion-simple-example,2024.2.4,None,2025-03-07 13h30.04.022738 -0500,
0.4,0,0,0,0,right,0.8153592500602826,None,0,0,0,2,1.7590169579489157,,,,,,,,,1.7382830410497263,1.7590169579489157,1.7590169579489157,1.7590169579489157,2.0470716250129044,2.213926290976815,2.213926290976815,2.3474432909861207,2.3474432909861207,3.0309556659776717,right,0.8153592500602826,None,972922,001,2025-03-07_13h29.57.980,motion-simple-example,2024.2.4,None,2025-03-07 13h30.04.022738 -0500,
1,0,1,1,0,,,,0,1,1,0,3.059019666048698,,,,,,,,,3.0315099159488454,3.126463416032493,3.059019666048698,3.059019666048698,3.4128931659506634,3.626409125048667,3.626409125048667,3.646036666003056,3.646036666003056,,,,,,,,,,,,
