thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation_circle.started,fixation_cross.started,dots.started,dots.stopped,fixation_green.started,key_resp.started,fixation_circle.stopped,fixation_cross.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,right,0.7928121670847759,None,0,0,0,0,0.013239167048595846,,0.00830604205839336,0.013239167048595846,0.013239167048595846,0.09933537500910461,0.5877439581090584,0.5877439581090584,0.5877439581090584,0.6043912920868024,0.6043912920868024,1.407340667094104,right,0.7928121670847759,None,477413,001,2025-03-07_14h24.17.933,motion-experiment,2024.2.4,None,2025-03-07 14h24.21.886624 -0500,
1,0,1,right,1.0040154159069061,None,1,0,1,0,1.432003750000149,,1.4078430420486256,1.432003750000149,1.432003750000149,1.5024372080806643,1.9998556250939146,2.0025392080424353,2.0025392080424353,2.0210522080305964,2.0210522080305964,3.017973833018914,right,1.0040154159069061,None,477413,001,2025-03-07_14h24.17.933,motion-experiment,2024.2.4,None,2025-03-07 14h24.21.886624 -0500,
2,0,2,,,,2,0,2,0,3.0326221670256928,,3.0183527501067147,3.0326221670256928,3.0326221670256928,3.1164656670298427,3.6024551250739023,3.615618833107874,3.615618833107874,3.618447417044081,3.618447417044081,,,,,,,,,,,,
