3.8804 	INFO 	Loaded monitor calibration from ['2023_05_12 15:00']
3.8887 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
4.0430 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fa83261e490>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fa83261e430>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fa8006f3f10>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.0431 	EXP 	window1: backgroundImage = ''
4.0431 	EXP 	window1: backgroundFit = 'none'
4.0913 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.0913 	EXP 	window1: recordFrameIntervals = False
4.2178 	EXP 	window1: recordFrameIntervals = True
5.0676 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

6.7465 	INFO 	keyboard.Keyboard is using iohub backend.
6.7465 	EXP 	motion-experiment: status = STARTED
6.7553 	EXP 	Created dots = DotStim(__class__=<class 'psychopy.visual.dot.DotStim'>, autoLog=True, coherence=1.0, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, dir=0.0, dotLife=10.0, dotSize=6.0, element=None, fieldAnchor=UNKNOWN, fieldPos=array([0., 0.]), fieldShape='circle', fieldSize=array([0.5, 0.5]), nDots=50, name='dots', noiseDots='direction', opacity=1, rgb=UNKNOWN, signalDots='same', speed=0.002, units='height', win=Window(...))
0.0124 	EXP 	dots: autoDraw = True
1.0008 	EXP 	dots: autoDraw = False
1.0008 	EXP 	dots: autoDraw = False
1.0008 	EXP 	motion-experiment: status = STOPPED
1.0023 	INFO 	saved data to '/Users/kbonnen/Library/CloudStorage/OneDrive-IndianaUniversity/Courses/V768-Measuring-Perception/V768-Psychophysics-labs/08-motion-adaptation/motion-experiment/data/256200_motion-experiment_2025-03-07_14h05.05.268.csv'
1.0029 	INFO 	saved data to /Users/kbonnen/Library/CloudStorage/OneDrive-IndianaUniversity/Courses/V768-Measuring-Perception/V768-Psychophysics-labs/08-motion-adaptation/motion-experiment/data/256200_motion-experiment_2025-03-07_14h05.05.268.psydat
