direction,coherence,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation_circle.started,fixation_cross.started,dots.started,dots.stopped,fixation_green.started,key_resp.started,fixation_circle.stopped,fixation_cross.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
180,0.8,0,0,0,right,2.0521611250005662,None,0,0,0,10,0.02133050002157688,,0.016233582980930805,0.02133050002157688,0.02133050002157688,0.09398845804389566,0.5917735419934615,0.5962716670474038,0.5962716670474038,0.6115135829895735,0.6115135829895735,2.67677266697865,right,2.0521611250005662,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
180,0.6,1,1,0,left,0.3921333340695128,None,0,1,1,9,2.7024802920641378,,2.677383500034921,2.7024802920641378,2.7024802920641378,2.7747438329970464,3.2625631670234725,3.275109166977927,3.275109166977927,3.2945926670217887,3.2945926670217887,3.6764182499609888,left,0.3921333340695128,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
0,0.4,2,2,0,right,0.37392737495247275,None,0,2,2,2,3.6819869170431048,,3.6769349579699337,3.6819869170431048,3.6819869170431048,3.7751060420414433,4.262496125069447,4.275048792012967,4.275048792012967,4.279013458057307,4.279013458057307,4.659088250016794,right,0.37392737495247275,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
0,0.2,3,3,0,left,0.37056041590403765,None,0,3,3,1,4.663469208055176,,4.659423333010636,4.663469208055176,4.663469208055176,4.745517708011903,5.241672749980353,5.244538333034143,5.244538333034143,5.261250667041168,5.261250667041168,5.626382042071782,left,0.37056041590403765,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
180,0.2,4,4,0,left,0.5104499589651823,None,0,4,4,7,5.632265166961588,,5.6268861250719056,5.632265166961588,5.632265166961588,5.725085292011499,6.212572833057493,6.225135375047103,6.225135375047103,6.228129917057231,6.228129917057231,6.742785208043642,left,0.5104499589651823,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
180,0.4,5,5,0,left,0.41285562503617257,None,0,5,5,8,6.75831325002946,,6.74341870797798,6.75831325002946,6.75831325002946,6.828760917065665,7.325160833075643,7.341596125042997,7.341596125042997,7.3463366670766845,7.3463366670766845,7.759872916969471,left,0.41285562503617257,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
0,0.6,6,6,0,right,0.2880667500430718,None,0,6,6,3,7.765827958006412,,7.760427625034936,7.765827958006412,7.765827958006412,7.858335750061087,8.344506292021833,8.358493500039913,8.358493500039913,8.362251250073314,8.362251250073314,8.658957583014853,right,0.2880667500430718,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
0,0,7,7,0,right,0.5745043751085177,None,0,7,7,0,8.664217708050273,,8.659426041995175,8.664217708050273,8.664217708050273,8.744634250062518,9.241861333022825,9.246804957976565,9.246804957976565,9.25852112506982,9.25852112506982,9.826861042063683,right,0.5745043751085177,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
180,0,8,8,0,right,0.5202299170196056,None,0,8,8,6,9.833184582996182,,9.827499457984231,9.833184582996182,9.833184582996182,9.92498670797795,10.411184167023748,10.424458542023785,10.424458542023785,10.43284466699697,10.43284466699697,10.946554125053808,right,0.5202299170196056,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
0,0.8,9,9,0,right,0.15369741700123996,None,0,9,9,4,10.95799058303237,,10.947221750044264,10.95799058303237,10.95799058303237,11.04181379196234,11.529497749987058,11.541758832987398,11.541758832987398,11.545543792075478,11.545543792075478,11.709819542011246,right,0.15369741700123996,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
180,1,10,10,0,left,0.36948120791930705,None,0,10,10,11,11.715505582978949,,11.710304583073594,11.715505582978949,11.715505582978949,11.80846183304675,12.29455962497741,12.307950166985393,12.307950166985393,12.311557249980979,12.311557249980979,12.680701000033878,left,0.36948120791930705,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
0,1,11,11,0,right,0.38451083400286734,None,0,11,11,5,12.691826625028625,,12.681145542068407,12.691826625028625,12.691826625028625,12.778914542053826,13.275087791960686,13.277892792015336,13.277892792015336,13.277892792015336,13.277892792015336,13.664108083001338,right,0.38451083400286734,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
0,0.2,12,0,1,left,0.5679750420385972,None,1,0,12,1,13.675189208006486,,13.664594958070666,13.675189208006486,13.675189208006486,13.76157900004182,14.27646745799575,14.27646745799575,14.27646745799575,14.27646745799575,14.27646745799575,14.846384708071128,left,0.5679750420385972,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
180,0.6,13,1,1,left,0.40080112498253584,None,1,1,13,9,14.858401000034064,,14.847007583011873,14.858401000034064,14.858401000034064,14.941720208036713,15.428068833076395,15.444694541976787,15.444694541976787,15.444694541976787,15.444694541976787,15.847406583023258,left,0.40080112498253584,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
180,0.2,14,2,1,right,1.4893865000922233,None,1,2,14,7,15.858506249962375,,15.847885375027545,15.858506249962375,15.858506249962375,15.945559457992204,16.441936666960828,16.44574941706378,16.44574941706378,16.44574941706378,16.44574941706378,17.94328879204113,right,1.4893865000922233,None,267276,001,2025-03-07_14h36.55.802,motion-experiment,2024.2.4,None,2025-03-07 14h36.59.869810 -0500,
180,0,15,3,1,,,,1,3,15,6,17.949648250010796,,17.943973042070866,17.949648250010796,17.949648250010796,18.04187187505886,18.542952249990776,18.542952249990776,18.542952249990776,18.559791958075948,18.559791958075948,,,,,,,,,,,,
