blobHeight,blobWidth,offset,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Wait.started,start_trial_text.started,start_key_resp.started,Wait.stopped,start_key_resp.keys,start_key_resp.rt,start_key_resp.duration,trial.started,noise.started,blob_1.started,blob_1.stopped,blob_2.started,blob_2.stopped,noise_2.started,key_resp.started,noise.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.009909541928209364,0.014448958914726973,0.014448958914726973,1.3577715419232845,space,1.3098281669663265,None,,,,,,,,,,,,,,demo,001,2025-03-24_16h55.36.408,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h55.55.811292 -0400,
1.0,0.07,-0.16,0,0,0,left,0.2660395000129938,None,0,0,0,44,1.4333372089313343,,,,,,,,,1.4032094998983666,1.4333372089313343,1.4740905419457704,1.7316042089369148,1.8172534999903291,2.0769974169088528,2.111811583978124,2.111811583978124,2.1857639169320464,2.3876966249663383,left,0.2660395000129938,None,demo,001,2025-03-24_16h55.36.408,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h55.55.811292 -0400,
0.1489,0.47,0.02,1,1,0,right,0.3095287919277325,None,0,1,1,14,2.4551011249423027,,,,,,,,,2.4245739999460056,2.4551011249423027,2.492181041976437,2.756715291994624,2.849057583953254,3.112227958976291,3.1463499589590356,3.1463499589590356,3.2022832919610664,3.4576440419768915,right,0.3095287919277325,None,demo,001,2025-03-24_16h55.36.408,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h55.55.811292 -0400,
1.0,0.07,0.08,2,2,0,right,0.1876650839112699,None,0,2,2,20,3.5170190839562565,,,,,,,,,3.491008499986492,3.5170190839562565,3.5720278749940917,3.834466083906591,3.9218552499078214,4.183533458970487,4.218072458985262,4.218072458985262,4.254853291902691,4.408097333973274,right,0.1876650839112699,None,demo,001,2025-03-24_16h55.36.408,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h55.55.811292 -0400,
0.1489,0.47,0.01,3,3,0,right,0.1811536670429632,None,0,3,3,10,4.471794083947316,,,,,,,,,4.441490624914877,4.471794083947316,4.509790333919227,4.77262812491972,4.862134874914773,5.125296666985378,5.159726874902844,5.159726874902844,5.219003833946772,5.354192041908391,right,0.1811536670429632,None,demo,001,2025-03-24_16h55.36.408,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h55.55.811292 -0400,
0.1045,0.67,0.04,4,4,0,right,0.7893486659741029,None,0,4,4,19,5.405176666914485,,,,,,,,,5.382293499889784,5.405176666914485,5.459890499943867,5.723214291967452,5.809678541962057,6.0724788749357685,6.106860874919221,6.106860874919221,6.152675499906763,6.9045597919030115,right,0.7893486659741029,None,demo,001,2025-03-24_16h55.36.408,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h55.55.811292 -0400,
0.1045,0.67,0.16,5,5,0,right,0.23819391697179526,None,0,5,5,27,6.9635854999069124,,,,,,,,,6.93774995894637,6.9635854999069124,7.022909041959792,7.285758291953243,7.357276541995816,7.622815499897115,7.657308041932993,7.657308041932993,7.718961124890484,7.904289208934642,right,0.23819391697179526,None,demo,001,2025-03-24_16h55.36.408,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h55.55.811292 -0400,
0.2593,0.27,0.08,6,6,0,right,0.25761600001715124,None,0,6,6,21,7.964982249890454,,,,,,,,,7.937531666946597,7.964982249890454,8.024744916940108,8.288620083942078,8.357609124970622,8.618234416935593,8.670092374901287,8.670092374901287,8.718990583904088,8.937402416951954,right,0.25761600001715124,None,demo,001,2025-03-24_16h55.36.408,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h55.55.811292 -0400,
0.2593,0.27,0.005,7,7,0,right,0.2831297080265358,None,0,7,7,5,8.990111874998547,,,,,,,,,8.964877666905522,8.990111874998547,9.046375208999962,9.310011666966602,9.396464749937877,9.66173612489365,9.696180166909471,9.696180166909471,9.735672541894019,9.987571124918759,right,0.2831297080265358,None,demo,001,2025-03-24_16h55.36.408,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h55.55.811292 -0400,
0.1489,0.47,0.04,8,8,0,right,0.36185608396772295,None,0,8,8,18,10.040213499916717,,,,,,,,,10.015959666925482,10.040213499916717,10.096350999898277,10.362220916897058,10.448601458920166,10.709846666897647,10.744327416992746,10.744327416992746,10.785879291943274,11.107508291956037,right,0.36185608396772295,None,demo,001,2025-03-24_16h55.36.408,Bonnen2015_2afc,2024.2.4,None,2025-03-24 16h55.55.811292 -0400,
