blobHeight,blobWidth,offset,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Wait.started,start_trial_text.started,start_key_resp.started,Wait.stopped,start_key_resp.keys,start_key_resp.rt,start_key_resp.duration,trial.started,noise.started,blob_1.started,blob_1.stopped,blob_2.started,blob_2.stopped,noise_2.started,key_resp.started,noise.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.011653833906166255,0.016211666981689632,0.016211666981689632,0.8830190839944407,space,0.8384760830085725,None,,,,,,,,,,,,,,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
0.1489,0.47,0.01,0,0,0,right,0.755414874991402,None,0,0,0,10,0.9640662089223042,,,,,,,,,0.9366369999479502,0.9640662089223042,1.0008939169347286,1.2519814999541268,1.335948041989468,1.5851115419063717,1.6357994589488953,1.6357994589488953,1.7160672089084983,2.401881624944508,right,0.755414874991402,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
0.2593,0.27,-0.16,1,1,0,left,0.0796785419806838,None,0,1,1,45,2.5425482919672504,,,,,,,,,2.436291499994695,2.5425482919672504,2.5651593749644235,2.8239474169677123,2.856790916994214,3.1187542089028284,3.152281874907203,3.152281874907203,,3.233511541970074,left,0.0796785419806838,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
0.2593,0.27,-0.01,2,2,0,left,0.30929312494117767,None,0,2,2,29,3.270453625009395,,,,,,,,,3.2510213339701295,3.270453625009395,3.338309666956775,3.6017015000106767,3.6857766249449924,3.9369777919491753,3.9854849169496447,3.9854849169496447,4.033379375003278,4.301759083988145,left,0.30929312494117767,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
1.0,0.07,-0.02,3,3,0,left,0.1498205839889124,None,0,3,3,32,4.360341874998994,,,,,,,,,4.328707708977163,4.360341874998994,4.413172666914761,4.668917541974224,4.753364874981344,5.021450958913192,5.05269729194697,5.05269729194697,5.116123333922587,5.20482958399225,left,0.1498205839889124,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
0.2593,0.27,0.04,4,4,0,right,0.10986904101446271,None,0,4,4,17,5.248161249910481,,,,,,,,,5.227054416900501,5.248161249910481,5.314781958935782,5.5723449169890955,5.6685871669324115,5.918473958969116,5.969187708920799,5.969187708920799,5.999534624977969,6.084665416972712,right,0.10986904101446271,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
0.1045,0.67,-0.02,5,5,0,right,0.2512982920743525,None,0,5,5,35,6.1294544589472935,,,,,,,,,6.10870158392936,6.1294544589472935,6.197303166962229,6.457775916904211,6.537463083979674,6.786576458951458,6.835703833959997,6.835703833959997,6.8827422090107575,7.088399208965711,right,0.2512982920743525,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
0.2593,0.27,0.01,6,6,0,right,0.26484445901587605,None,0,6,6,9,7.137091959011741,,,,,,,,,7.11395079200156,7.137091959011741,7.190495374961756,7.451935083954595,7.552117459010333,7.802984084002674,7.837708916980773,7.837708916980773,7.88273087493144,8.10454245901201,right,0.26484445901587605,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
1.0,0.07,0.04,7,7,0,right,0.07134066696744412,None,0,7,7,16,8.153188374941237,,,,,,,,,8.130172541947104,8.153188374941237,8.20655716699548,8.468994499999098,8.568491208949126,8.818348624976352,8.86903966695536,8.86903966695536,8.916093749925494,8.950137416948564,right,0.07134066696744412,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
0.1045,0.67,0.04,8,8,0,right,0.24947204208001494,None,0,8,8,19,8.985294041922316,,,,,,,,,8.968144249985926,8.985294041922316,9.051754208980128,9.302322083967738,9.402936166967265,9.651728999917395,9.702562124934047,9.702562124934047,9.732855291920714,9.954593624919653,right,0.24947204208001494,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
1.0,0.07,-0.08,9,9,0,left,0.10457399999722838,None,0,9,9,40,10.003312584012747,,,,,,,,,9.980017083929852,10.003312584012747,10.056686541996896,10.318713083979674,10.418598041986115,10.67077037494164,10.721330708940513,10.721330708940513,10.749575374997221,10.834675499936566,left,0.10457399999722838,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
1.0,0.07,-0.04,10,10,0,left,0.18483275000471622,None,0,10,10,36,10.877196041983552,,,,,,,,,10.856284083914943,10.877196041983552,10.943473458988592,11.204962833900936,11.285185416927561,11.535493416944519,11.585836041951552,11.585836041951552,11.632855791947804,11.78409324993845,left,0.18483275000471622,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
0.1045,0.67,0.16,11,11,0,right,0.15837120893411338,None,0,11,11,27,11.828827459015884,,,,,,,,,11.8063743339153,11.828827459015884,11.89487212500535,12.15355758392252,12.235136874951422,12.485276374965906,12.535772874951363,12.535772874951363,12.582760583958589,12.7012864589924,right,0.15837120893411338,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
0.1489,0.47,-0.02,12,12,0,left,0.3561828749952838,None,0,12,12,34,12.74596649990417,,,,,,,,,12.724570583901368,12.74596649990417,12.82052454201039,13.085794708924368,13.15175758395344,13.402914625010453,13.453044249908999,13.453044249908999,13.499481291975826,13.818403374985792,left,0.3561828749952838,None,demo,001,2025-03-24_17h14.42.856,Bonnen2015_2afc,2024.2.4,None,2025-03-24 17h14.49.320632 -0400,
