thisRow.t,notes,trial_num,direction_presented_deg,side,response_direction_deg,direction_error_deg,response_time_s,participant,session,date,expName,frameRate,
,,50,270.0,right,268.7738581451214,-1.2261418548786196,5.250470541010145,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,51,110.0,left,127.89097355036222,17.89097355036222,2.8864326659822837,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,52,255.0,left,242.92461765986747,-12.075382340132535,5.784708916966338,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,53,115.0,left,136.78848397999062,21.788483979990616,1.6994714160100557,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,54,215.0,right,164.76034540969454,-50.23965459030546,4.502266165975016,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,55,115.0,right,142.05865207139453,27.058652071394533,2.343402792001143,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,56,230.0,left,165.82549428823427,-64.17450571176573,3.6902368330047466,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,57,155.0,left,167.31646360164922,12.316463601649218,4.399688999983482,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,58,20.0,left,6.155626851704056,-13.844373148295944,3.633063332992606,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,59,20.0,right,21.635359653691197,1.6353596536911823,1.8838445409783162,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,60,40.0,right,54.770484360845614,14.770484360845614,3.8501461249543354,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,61,10.0,left,355.7247113844825,-14.275288615517525,3.6072337920195423,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,62,305.0,left,303.517903463933,-1.4820965360669902,2.046100249979645,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
,,63,225.0,right,219.4600296605247,-5.539970339475303,4.2182964159874246,077022,001,2026-04-08_20h53.15.214,3d-motion-direction-estimation,60.0,
