coherence,direction,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,instructions.started,key_resp_2.started,begin_experiment.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,adaptation.started,polygon_adaptation.started,fixation_adaptation.started,adaptation.stopped,top_up_adaptation.started,polygon_top.started,polygon_top.stopped,fixation_top.started,fixation_top.stopped,top_up_adaptation.stopped,trial.started,polygon.started,fixation.started,dots.started,dots.stopped,key_resp.started,fixation_respond.started,polygon.stopped,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.011260916944593191,0.02168433298356831,0.02168433298356831,7.160974457976408,space,7.113123542047106,None,,,,,,,,,,,,,,,,,,,,,,,,demo,001,2025-03-05_19h44.16.495,motion-adaptation,2024.2.4,None,2025-03-05 19h44.23.824331 -0500,
,,,,,,,,,,,,,,,,,,,,,7.161056666984223,7.235071791918017,7.235071791918017,37.17197287501767,,,,,,,,,,,,,,,,,,,,demo,001,2025-03-05_19h44.16.495,motion-adaptation,2024.2.4,None,2025-03-05 19h44.23.824331 -0500,
0.3,0,0,0,0,left,0.7018867919687182,None,0,0,0,3,37.19508820795454,,,,,,,,,,,,,37.189682582975365,37.19508820795454,37.19508820795454,37.19508820795454,37.19508820795454,37.19026883295737,37.19061733293347,37.19508820795454,37.19508820795454,37.288540457957424,37.57365337491501,37.788503624964505,37.788503624964505,37.79174137499649,37.79174137499649,38.508075707941316,left,0.7018867919687182,None,demo,001,2025-03-05_19h44.16.495,motion-adaptation,2024.2.4,None,2025-03-05 19h44.23.824331 -0500,
0,0,1,1,0,left,0.5819893750594929,None,0,1,1,6,38.52219437493477,,,,,,,,,,,,,38.508312916965224,38.52219437493477,38.52219437493477,38.52219437493477,38.52219437493477,38.508922624983825,38.50932462501805,38.52219437493477,38.52219437493477,38.60523020802066,38.8909715419868,39.10519520798698,39.10519520798698,39.109060832997784,39.109060832997784,39.69246333301999,left,0.5819893750594929,None,demo,001,2025-03-05_19h44.16.495,motion-adaptation,2024.2.4,None,2025-03-05 19h44.23.824331 -0500,
0.5,0,2,2,0,left,0.49232266598846763,None,0,2,2,1,39.70824399997946,,,,,,,,,,,,,39.692828250001185,39.70824399997946,39.70824399997946,39.70824399997946,39.70824399997946,39.69352416694164,39.69388299994171,39.70824399997946,39.70824399997946,39.79217254195828,40.09072741691489,40.306878082919866,40.306878082919866,40.322858374915086,40.322858374915086,40.80952912499197,left,0.49232266598846763,None,demo,001,2025-03-05_19h44.16.495,motion-adaptation,2024.2.4,None,2025-03-05 19h44.23.824331 -0500,
0.1,0,3,3,0,left,0.4073876249603927,None,0,3,3,5,40.82095145795029,,,,,,,,,,,,,40.8097860829439,40.82095145795029,45.80874899995979,40.82095145795029,45.80874899995979,45.805757499998435,45.80613033298869,45.80874899995979,45.80874899995979,45.89195020799525,46.18855016701855,46.40682558296248,46.40682558296248,46.42246666701976,46.42246666701976,46.8236357079586,left,0.4073876249603927,None,demo,001,2025-03-05_19h44.16.495,motion-adaptation,2024.2.4,None,2025-03-05 19h44.23.824331 -0500,
0.2,0,4,4,0,left,0.3198612079722807,None,0,4,4,4,46.830008874996565,,,,,,,,,,,,,46.823940166970715,46.830008874996565,46.830008874996565,46.830008874996565,46.830008874996565,46.8245065419469,46.824774125008844,46.830008874996565,46.830008874996565,46.92211004195269,47.20814762497321,47.439345499966294,47.439345499966294,47.439345499966294,47.439345499966294,47.76096891693305,left,0.3198612079722807,None,demo,001,2025-03-05_19h44.16.495,motion-adaptation,2024.2.4,None,2025-03-05 19h44.23.824331 -0500,
0.4,0,5,5,0,right,0.23459574999287724,None,0,5,5,2,47.7718425829662,,,,,,,,,,,,,47.761180875007994,47.7718425829662,47.7718425829662,47.7718425829662,47.7718425829662,47.76169208297506,47.76199616701342,47.7718425829662,47.7718425829662,47.85947991698049,48.15743050002493,48.37258479197044,48.37258479197044,48.37258479197044,48.37258479197044,48.61341791693121,right,0.23459574999287724,None,demo,001,2025-03-05_19h44.16.495,motion-adaptation,2024.2.4,None,2025-03-05 19h44.23.824331 -0500,
1,0,6,6,0,right,0.35055479197762907,None,0,6,6,0,48.62191783299204,,,,,,,,,,,,,48.613669499987736,48.62191783299204,48.62191783299204,48.62191783299204,48.62191783299204,48.614342457964085,48.614630082971416,48.62191783299204,48.62191783299204,48.70904679200612,49.00524020800367,49.207483332953416,49.207483332953416,49.207483332953416,49.207483332953416,49.57580266695004,right,0.35055479197762907,None,demo,001,2025-03-05_19h44.16.495,motion-adaptation,2024.2.4,None,2025-03-05 19h44.23.824331 -0500,
1,180,7,7,0,left,0.02637087507173419,None,0,7,7,7,49.588847292005084,,,,,,,,,,,,,49.57605924992822,49.588847292005084,54.58990149991587,49.588847292005084,54.58990149991587,54.574101249920204,54.575065374956466,54.58990149991587,54.58990149991587,54.67196391697507,54.97263104200829,55.171942916931584,55.171942916931584,55.18816812499426,55.18816812499426,55.206744791939855,left,0.02637087507173419,None,demo,001,2025-03-05_19h44.16.495,motion-adaptation,2024.2.4,None,2025-03-05 19h44.23.824331 -0500,
