contrast,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,grating.started,grating.stopped,response.started,polygon.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.010560124996118248,1.8265659579774365,,,,,,,,,,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.9,0,0,0,up,0.426799500011839,None,0,0,0,6,1.838759874983225,,,,1.8321837079711258,1.952110750018619,2.4415646250126883,2.57067454099888,2.57067454099888,3.0062325000180863,up,0.426799500011839,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.0,1,1,0,down,1.3358038750011474,None,0,1,1,0,3.0142576249781996,,,,3.0078522079857066,3.170985708013177,3.658737707999535,3.7545760829816572,3.7545760829816572,5.09491133299889,down,1.3358038750011474,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.0001,2,2,0,down,0.3951926250010729,None,0,2,2,2,5.104024000000209,,,,5.095703875005711,5.210241666005459,5.704421499976888,5.839322458021343,5.839322458021343,6.239554958010558,down,0.3951926250010729,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.001,3,3,0,down,0.6551267500035465,None,0,3,3,3,6.247833458008245,,,,6.241041957982816,6.3884137499844655,6.888151958002709,6.988270499976352,6.988270499976352,7.654816332971677,down,0.6551267500035465,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.01,4,4,0,up,0.34925525001017377,None,0,4,4,4,7.660323041025549,,,,7.655449750018306,7.753958125016652,8.241421791026369,8.392134291003458,8.392134291003458,8.742918582982384,up,0.34925525001017377,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.1,5,5,0,up,0.6848070829873905,None,0,5,5,5,8.75405624997802,,,,8.743606999982148,8.877642582985573,9.375188541016541,9.494711916020606,9.494711916020606,10.189801916014403,up,0.6848070829873905,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
1e-05,6,6,0,up,1.4074052500072867,None,0,6,6,1,10.196451290976256,,,,10.19106716598617,10.337646000029054,10.826362415973563,10.937935499998275,10.937935499998275,12.356198500026949,up,1.4074052500072867,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.01,7,0,1,up,0.4260677919955924,None,1,0,7,4,12.363207500020508,,,,12.35776929097483,12.537344916025177,13.025441624980886,13.10422420798568,13.10422420798568,13.539789790986106,up,0.4260677919955924,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.0,8,1,1,up,1.023968833964318,None,1,1,8,0,13.546958125021774,,,,13.541216415993404,13.703906457987614,14.191688165999949,14.29435633297544,14.29435633297544,15.322599416016601,up,1.023968833964318,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.0001,9,2,1,down,0.44322179100709036,None,1,2,9,2,15.329123541014269,,,,15.323097707994748,15.48764929099707,15.973886375024449,16.071091790974606,16.071091790974606,16.52349954098463,down,0.44322179100709036,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.1,10,3,1,up,0.4716081250226125,None,1,3,10,5,16.531815040973015,,,,16.52509320800891,16.627161958022043,17.12487829098245,17.27058729098644,17.27058729098644,17.742979415983427,up,0.4716081250226125,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.001,11,4,1,up,0.5199419580167159,None,1,4,11,3,17.753898125025444,,,,17.743689458002336,17.903837124991696,18.394266040995717,18.49028145801276,18.49028145801276,19.02366762497695,up,0.5199419580167159,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.9,12,5,1,up,0.3581841249833815,None,1,5,12,6,19.030087666003965,,,,19.024677916022483,19.126255833019968,19.62539891601773,19.770913875021506,19.770913875021506,20.13993720797589,up,0.3581841249833815,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
1e-05,13,6,1,down,0.5233780000125989,None,1,6,13,1,20.154304500028957,,,,20.140705332974903,20.28798216598807,20.773746500024572,20.887748999986798,20.887748999986798,21.423110375006218,down,0.5233780000125989,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.0001,14,0,2,down,1.007296999974642,None,2,0,14,2,21.42924645799212,,,,21.42374712502351,21.527357915998437,22.038084083003923,22.170779999985825,22.170779999985825,23.191729000012856,down,1.007296999974642,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.01,15,1,2,up,0.3193464999785647,None,2,1,15,4,23.19918295799289,,,,23.193011249997653,23.32056179101346,23.809000666020438,23.937688165984582,23.937688165984582,24.259620958007872,up,0.3193464999785647,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
1e-05,16,2,2,up,0.845885208051186,None,2,2,16,1,24.270644665986765,,,,24.260352416022215,24.40718683297746,24.90414487500675,25.010125958011486,25.010125958011486,25.85922079102602,up,0.845885208051186,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.0,17,3,2,up,0.6628757079597563,None,2,3,17,0,25.87056270800531,,,,25.859999749984127,25.987766499980353,26.477126249985304,26.604200583009515,26.604200583009515,27.272541582991835,up,0.6628757079597563,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.001,18,4,2,down,0.4648354999953881,None,2,4,18,3,27.27882133302046,,,,27.27364116598619,27.40401599998586,27.89189600001555,28.021148708008695,28.021148708008695,28.48804637498688,down,0.4648354999953881,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.1,19,5,2,up,0.49300387501716614,None,2,5,19,5,28.493471916008275,,,,28.48873254097998,28.604685832979158,29.09186454099836,29.225047458021436,29.225047458021436,29.722529291000683,up,0.49300387501716614,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.9,20,6,2,up,0.30451750004431233,None,2,6,20,6,29.72819812502712,,,,29.72306462499546,29.88785945798736,30.375582916021813,30.471320124983322,30.471320124983322,30.79079262498999,up,0.30451750004431233,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
0.0001,21,0,3,down,0.40303270803997293,None,3,0,21,2,30.797220707987435,,,,30.79152366600465,30.960691915999632,31.457953999983147,31.537801207974553,31.537801207974553,31.94328729098197,down,0.40303270803997293,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
1e-05,22,1,3,up,0.32605966698611155,None,3,1,22,1,31.953839000023436,,,,31.944053290993907,32.07643374998588,32.575176000013016,32.68780537502607,32.68780537502607,33.0214493329986,up,0.32605966698611155,None,demo,001,2025-01-16_21h16.39.043,method_of_constant_stimuli,2024.2.4,None,2025-01-16 21h16.45.421908 -0500,
