speed,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,circle_block.started,polygon.started,dots.started,dots.stopped,slider.started,key_resp.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.009147665987256914,0.8277413329924457,,,,,,,,977594,001,2026-02-26_12h07.15.137,speed-estimation,,2025.2.4,None,2026-02-26 12h07.15.346976 -0500,
0.00025,0,0,0,0,0,0,4,0.8571489579626359,,,,0.8411102909594774,0.8571489579626359,0.8571489579626359,0.9193307079840451,1.9168807079549879,1.986273332964629,1.986273332964629,,,,,,,,,
