blobHeight,blobWidth,mask,sig
1,0.07,"$np.ones((512,512))",0.0075
0.4188,0.27,"$np.ones((512,512))",0.0075
0.2593,0.47,"$np.ones((512,512))",0.0075
0.1892,0.67,"$np.ones((512,512))",0.0075
