10.6613 	DATA 	Keypress: left
10.6644 	EXP 	grating: autoDraw = False
10.6644 	EXP 	grating_test: autoDraw = False
10.6644 	EXP 	grating_test: ori = 15.0
10.6644 	EXP 	grating: autoDraw = True
11.1594 	EXP 	grating: autoDraw = False
11.2571 	EXP 	grating_test: autoDraw = True
11.7426 	EXP 	grating_test: autoDraw = False
11.7575 	INFO 	Keyboard events cleared
11.8940 	DATA 	Keypress: right
11.8970 	EXP 	grating: autoDraw = False
11.8970 	EXP 	grating_test: autoDraw = False
11.8970 	EXP 	grating_test: ori = -12.0
11.8970 	EXP 	grating: autoDraw = True
12.3932 	EXP 	grating: autoDraw = False
12.4905 	EXP 	grating_test: autoDraw = True
12.9765 	EXP 	grating_test: autoDraw = False
12.9909 	INFO 	Keyboard events cleared
13.2772 	DATA 	Keypress: left
13.2801 	EXP 	grating: autoDraw = False
13.2801 	EXP 	grating_test: autoDraw = False
13.2801 	EXP 	grating_test: ori = 9.0
13.2801 	EXP 	grating: autoDraw = True
13.7761 	EXP 	grating: autoDraw = False
13.8738 	EXP 	grating_test: autoDraw = True
14.3592 	EXP 	grating_test: autoDraw = False
14.3740 	INFO 	Keyboard events cleared
14.7274 	DATA 	Keypress: right
14.7303 	EXP 	grating: autoDraw = False
14.7303 	EXP 	grating_test: autoDraw = False
14.7303 	EXP 	grating_test: ori = 8.0
14.7303 	EXP 	grating: autoDraw = True
15.2258 	EXP 	grating: autoDraw = False
15.3238 	EXP 	grating_test: autoDraw = True
15.8093 	EXP 	grating_test: autoDraw = False
15.8241 	INFO 	Keyboard events cleared
16.1139 	DATA 	Keypress: right
16.1258 	EXP 	grating: autoDraw = False
16.1258 	EXP 	grating_test: autoDraw = False
16.1258 	EXP 	grating_test: ori = -15.0
16.1258 	EXP 	grating: autoDraw = True
16.6238 	EXP 	grating: autoDraw = False
16.7092 	EXP 	grating_test: autoDraw = True
17.2072 	EXP 	grating_test: autoDraw = False
17.2100 	INFO 	Keyboard events cleared
17.5135 	DATA 	Keypress: left
17.5240 	EXP 	grating: autoDraw = False
17.5240 	EXP 	grating_test: autoDraw = False
17.5240 	EXP 	grating_test: ori = 15.0
17.5240 	EXP 	grating: autoDraw = True
18.0097 	EXP 	grating: autoDraw = False
18.1086 	EXP 	grating_test: autoDraw = True
18.6072 	EXP 	grating_test: autoDraw = False
18.6097 	INFO 	Keyboard events cleared
18.9441 	DATA 	Keypress: right
18.9472 	EXP 	grating: autoDraw = False
18.9472 	EXP 	grating_test: autoDraw = False
18.9472 	EXP 	grating_test: ori = -11.0
18.9472 	EXP 	grating: autoDraw = True
19.4443 	EXP 	grating: autoDraw = False
19.5406 	EXP 	grating_test: autoDraw = True
20.0280 	EXP 	grating_test: autoDraw = False
20.0420 	INFO 	Keyboard events cleared
20.3465 	DATA 	Keypress: left
20.3571 	EXP 	grating: autoDraw = False
20.3571 	EXP 	grating_test: autoDraw = False
20.3571 	EXP 	grating_test: ori = 15.0
20.3571 	EXP 	grating: autoDraw = True
20.8430 	EXP 	grating: autoDraw = False
20.9435 	EXP 	grating_test: autoDraw = True
21.4405 	EXP 	grating_test: autoDraw = False
21.4432 	INFO 	Keyboard events cleared
21.7434 	DATA 	Keypress: right
21.7465 	EXP 	grating: autoDraw = False
21.7465 	EXP 	grating_test: autoDraw = False
21.7465 	EXP 	grating_test: ori = -15.0
21.7465 	EXP 	grating: autoDraw = True
22.2428 	EXP 	grating: autoDraw = False
22.3407 	EXP 	grating_test: autoDraw = True
22.8276 	EXP 	grating_test: autoDraw = False
22.8407 	INFO 	Keyboard events cleared
23.1779 	DATA 	Keypress: left
23.1809 	EXP 	grating: autoDraw = False
23.1809 	EXP 	grating_test: autoDraw = False
23.1809 	EXP 	grating_test: ori = 7.0
23.1809 	EXP 	grating: autoDraw = True
23.6765 	EXP 	grating: autoDraw = False
23.7738 	EXP 	grating_test: autoDraw = True
24.2763 	INFO 	Keyboard events cleared
24.2761 	EXP 	grating_test: autoDraw = False
24.7095 	DATA 	Keypress: right
24.7123 	EXP 	grating: autoDraw = False
24.7123 	EXP 	grating_test: autoDraw = False
24.7123 	EXP 	grating_test: ori = -10.0
24.7123 	EXP 	grating: autoDraw = True
25.1973 	WARNING 	t of last frame was 22.28ms (=1/44)
25.2096 	EXP 	grating: autoDraw = False
25.3093 	EXP 	grating_test: autoDraw = True
25.8076 	INFO 	Keyboard events cleared
25.8073 	EXP 	grating_test: autoDraw = False
26.2272 	DATA 	Keypress: left
26.2301 	EXP 	grating: autoDraw = False
26.2301 	EXP 	grating_test: autoDraw = False
26.2301 	EXP 	grating_test: ori = 6.0
26.2301 	EXP 	grating: autoDraw = True
26.7259 	EXP 	grating: autoDraw = False
26.8239 	EXP 	grating_test: autoDraw = True
27.3110 	EXP 	grating_test: autoDraw = False
27.3241 	INFO 	Keyboard events cleared
27.6932 	DATA 	Keypress: right
27.6960 	EXP 	grating: autoDraw = False
27.6960 	EXP 	grating_test: autoDraw = False
27.6960 	EXP 	grating_test: ori = 15.0
27.6960 	EXP 	grating: autoDraw = True
28.1907 	EXP 	grating: autoDraw = False
28.2773 	EXP 	grating_test: autoDraw = True
28.7739 	EXP 	grating_test: autoDraw = False
28.7777 	INFO 	Keyboard events cleared
29.1281 	DATA 	Keypress: right
29.1312 	EXP 	grating: autoDraw = False
29.1312 	EXP 	grating_test: autoDraw = False
29.1312 	EXP 	grating_test: ori = -9.0
29.1312 	EXP 	grating: autoDraw = True
29.6278 	EXP 	grating: autoDraw = False
29.7239 	EXP 	grating_test: autoDraw = True
30.2111 	EXP 	grating_test: autoDraw = False
30.2240 	INFO 	Keyboard events cleared
30.4973 	DATA 	Keypress: left
30.5072 	EXP 	grating: autoDraw = False
30.5072 	EXP 	grating_test: autoDraw = False
30.5072 	EXP 	grating_test: ori = -8.0
30.5072 	EXP 	grating: autoDraw = True
30.9929 	EXP 	grating: autoDraw = False
31.0904 	EXP 	grating_test: autoDraw = True
31.5764 	EXP 	grating_test: autoDraw = False
31.5949 	INFO 	Keyboard events cleared
32.0446 	DATA 	Keypress: left
32.0475 	EXP 	grating: autoDraw = False
