4.1777 	INFO 	Loaded monitor calibration from ['2023_05_12 15:00']
0.0234 	EXP 	Created dot_left_3 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0. , 0. , 0.5]), fillColorSpace='rgb', fillRGB=array([0. , 0. , 0.5]), interpolate=True, lineColor=array([0. , 0. , 0.5]), lineColorSpace='rgb', lineRGB=array([0. , 0. , 0.5]), lineWidth=1.5, name='dot_left_3', opacity=1.0, ori=0.0, pos=array([-0.11212247, -0.16613982]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0253 	EXP 	Created dot_left_3 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.5, 0. , 0. ]), fillColorSpace='rgb', fillRGB=array([0.5, 0. , 0. ]), interpolate=True, lineColor=array([0.5, 0. , 0. ]), lineColorSpace='rgb', lineRGB=array([0.5, 0. , 0. ]), lineWidth=1.5, name='dot_left_3', opacity=1.0, ori=0.0, pos=array([-0.09581664, -0.16613982]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0272 	EXP 	Created dot_left_4 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0. , 0. , 0.5]), fillColorSpace='rgb', fillRGB=array([0. , 0. , 0.5]), interpolate=True, lineColor=array([0. , 0. , 0.5]), lineColorSpace='rgb', lineRGB=array([0. , 0. , 0.5]), lineWidth=1.5, name='dot_left_4', opacity=1.0, ori=0.0, pos=array([0.07670398, 0.18371822]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0289 	EXP 	Created dot_left_4 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.5, 0. , 0. ]), fillColorSpace='rgb', fillRGB=array([0.5, 0. , 0. ]), interpolate=True, lineColor=array([0.5, 0. , 0. ]), lineColorSpace='rgb', lineRGB=array([0.5, 0. , 0. ]), lineWidth=1.5, name='dot_left_4', opacity=1.0, ori=0.0, pos=array([0.07142677, 0.18371822]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0308 	EXP 	Created dot_left_5 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0. , 0. , 0.5]), fillColorSpace='rgb', fillRGB=array([0. , 0. , 0.5]), interpolate=True, lineColor=array([0. , 0. , 0.5]), lineColorSpace='rgb', lineRGB=array([0. , 0. , 0.5]), lineWidth=1.5, name='dot_left_5', opacity=1.0, ori=0.0, pos=array([-0.07822778,  0.2337998 ]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0326 	EXP 	Created dot_left_5 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.5, 0. , 0. ]), fillColorSpace='rgb', fillRGB=array([0.5, 0. , 0. ]), interpolate=True, lineColor=array([0.5, 0. , 0. ]), lineColorSpace='rgb', lineRGB=array([0.5, 0. , 0. ]), lineWidth=1.5, name='dot_left_5', opacity=1.0, ori=0.0, pos=array([-0.06917776,  0.2337998 ]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0344 	EXP 	Created dot_left_6 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0. , 0. , 0.5]), fillColorSpace='rgb', fillRGB=array([0. , 0. , 0.5]), interpolate=True, lineColor=array([0. , 0. , 0.5]), lineColorSpace='rgb', lineRGB=array([0. , 0. , 0.5]), lineWidth=1.5, name='dot_left_6', opacity=1.0, ori=0.0, pos=array([ 0.08068613, -0.21074324]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0362 	EXP 	Created dot_left_6 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.5, 0. , 0. ]), fillColorSpace='rgb', fillRGB=array([0.5, 0. , 0. ]), interpolate=True, lineColor=array([0.5, 0. , 0. ]), lineColorSpace='rgb', lineRGB=array([0.5, 0. , 0. ]), lineWidth=1.5, name='dot_left_6', opacity=1.0, ori=0.0, pos=array([ 0.0919446 , -0.21074324]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0379 	EXP 	Created dot_left_7 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0. , 0. , 0.5]), fillColorSpace='rgb', fillRGB=array([0. , 0. , 0.5]), interpolate=True, lineColor=array([0. , 0. , 0.5]), lineColorSpace='rgb', lineRGB=array([0. , 0. , 0.5]), lineWidth=1.5, name='dot_left_7', opacity=1.0, ori=0.0, pos=array([-0.18657202, -0.07687987]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0397 	EXP 	Created dot_left_7 = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0.5, 0. , 0. ]), fillColorSpace='rgb', fillRGB=array([0.5, 0. , 0. ]), interpolate=True, lineColor=array([0.5, 0. , 0. ]), lineColorSpace='rgb', lineRGB=array([0.5, 0. , 0. ]), lineWidth=1.5, name='dot_left_7', opacity=1.0, ori=0.0, pos=array([-0.16794543, -0.07687987]), size=array([0.01, 0.01]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
