4.6853 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
4.6866 	INFO 	Loaded monitor calibration from ['2023_05_12 15:00']
4.8434 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc3b9e98730>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc3b9e98610>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc3c353a5e0>, multiSample=False, name='window1', numSamples=2, pos=[356.0, 191.0], screen=0, size=array([1600, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.8434 	EXP 	window1: backgroundImage = ''
4.8435 	EXP 	window1: backgroundFit = 'none'
4.8529 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8534 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8539 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8546 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8553 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8555 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8560 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8567 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8569 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8570 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8575 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8580 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8585 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8590 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8594 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8599 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8604 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8606 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8609 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8616 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8618 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8620 	DEBUG 	Uploading Texture Font fontname to graphics card
4.8648 	DEBUG 	Upload of Texture Font fontname complete
4.8696 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8703 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8710 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.8712 	DEBUG 	Uploading Texture Font fontname to graphics card
4.8730 	DEBUG 	Upload of Texture Font fontname complete
4.8744 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.8744 	EXP 	window1: recordFrameIntervals = False
4.9752 	EXP 	window1: recordFrameIntervals = True
5.8090 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

5.8160 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8166 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8174 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8185 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8195 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8205 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8209 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8218 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8228 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8237 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
5.8239 	DEBUG 	Uploading Texture Font fontname to graphics card
5.8265 	DEBUG 	Upload of Texture Font fontname complete
5.8450 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
7.5366 	INFO 	keyboard.Keyboard is using iohub backend.
7.5366 	EXP 	3d-motion-direction-estimation: status = STARTED
