contrast,location,cpd,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,response.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,-1,2,40,40,0,left,0.11813254200387746,None,0,40,40,26,40.66223695804365,,,,40.65294120798353,41.262619291082956,41.38522712502163,left,0.11813254200387746,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,-1,2,41,41,0,left,0.15555529098492116,None,0,41,41,23,41.39543745806441,,,,41.38764316600282,41.98319933307357,42.14819779107347,left,0.15555529098492116,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,1,4,42,42,0,right,0.17391499993391335,None,0,42,42,33,42.15666512504686,,,,42.15024979098234,42.7447698750766,42.92999700002838,right,0.17391499993391335,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,-1,16,43,43,0,left,0.1784115000627935,None,0,43,43,68,42.93530587502755,,,,42.93157458305359,43.528296791017056,43.71453383297194,left,0.1784115000627935,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,-1,1,44,44,0,left,0.0701865409500897,None,0,44,44,8,43.72241016605403,,,,43.71674541605171,44.31245679105632,44.38493112497963,left,0.0701865409500897,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,-1,8,45,45,0,left,0.10084125003777444,None,0,45,45,52,44.395352541003376,,,,44.38737883302383,44.9837706660619,45.08987333299592,left,0.10084125003777444,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,-1,16,46,46,0,left,0.18776987493038177,None,0,46,46,64,45.11238862504251,,,,45.09126220806502,45.69582970801275,45.89764658303466,left,0.18776987493038177,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,1,4,47,47,0,right,0.5409670000663027,None,0,47,47,28,45.906638415995985,,,,45.90015095798299,46.49564995802939,47.04936983308289,right,0.5409670000663027,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,-1,1,48,48,0,right,0.5518198329955339,None,0,48,48,11,47.06249150005169,,,,47.05154120805673,47.64577470801305,48.203262750059366,right,0.5518198329955339,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,1,1,49,49,0,left,0.2802811659639701,None,0,49,49,0,48.21154354105238,,,,48.20553837507032,48.79928204102907,49.085377915995196,left,0.2802811659639701,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,1,8,50,50,0,right,0.14003670797683299,None,0,50,50,48,49.09545820800122,,,,49.08769850002136,49.68366895802319,49.83173016598448,right,0.14003670797683299,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,1,1,51,51,0,right,0.08155016601085663,None,0,51,51,6,49.83990195801016,,,,49.834181374986656,50.428979083080776,50.515051541035064,right,0.08155016601085663,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,-1,16,52,52,0,left,0.19577258301433176,None,0,52,52,69,50.523716291063465,,,,50.51741020800546,51.111694875056855,51.31268908304628,left,0.19577258301433176,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,-1,2,53,53,0,left,0.21808124997187406,None,0,53,53,22,51.31827108305879,,,,51.31418320804369,51.90044800005853,52.13149079098366,left,0.21808124997187406,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,1,16,54,54,0,left,0.16016641608439386,None,0,54,54,60,52.14043908298481,,,,52.13365033303853,52.72927512507886,52.89833479106892,left,0.16016641608439386,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,-1,4,55,55,0,left,0.07768570794723928,None,0,55,55,41,52.9074839160312,,,,52.9007616660092,53.49689083301928,53.58105395804159,left,0.07768570794723928,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,1,1,56,56,0,right,0.46926166606135666,None,0,56,56,4,53.58957283303607,,,,53.583311832975596,54.17914708307944,54.65144720801618,right,0.46926166606135666,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,-1,4,57,57,0,left,0.1472636240068823,None,0,57,57,37,54.774768957984634,,,,54.770230458001606,55.26313204097096,55.413797500077635,left,0.1472636240068823,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,1,2,58,58,0,right,0.126718332991004,None,0,58,58,18,55.4209366660798,,,,55.415810083039105,56.012691333075054,56.148125500069,right,0.126718332991004,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,-1,16,59,59,0,right,0.2814913740148768,None,0,59,59,63,56.15571754099801,,,,56.15043358306866,56.745888250065036,57.031486041028984,right,0.2814913740148768,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,1,1,60,60,0,left,0.6254122910322621,None,0,60,60,2,57.03839550004341,,,,57.033657458028756,57.629086249973625,58.26494641602039,left,0.6254122910322621,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,1,8,61,61,0,left,0.37326508294790983,None,0,61,61,42,58.27383879106492,,,,58.26731700007804,58.86201795807574,59.24756775004789,left,0.37326508294790983,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,1,2,62,62,0,right,0.657879333011806,None,0,62,62,14,59.25358687504195,,,,59.24938137503341,59.845347958034836,60.512945999973454,right,0.657879333011806,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,-1,1,63,63,0,left,0.3133676249999553,None,0,63,63,9,60.51903766603209,,,,60.51424124999903,61.100887582986616,61.41840545798186,left,0.3133676249999553,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,-1,4,64,64,0,left,0.09708495798986405,None,0,64,64,40,61.428760749986395,,,,61.42085574998055,62.01714254100807,62.132086333003826,left,0.09708495798986405,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,-1,4,65,65,0,left,0.5119117910508066,None,0,65,65,35,62.14582366601098,,,,62.13419625000097,62.72930420807097,63.24781920807436,left,0.5119117910508066,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,1,1,66,66,0,right,0.2584796668961644,None,0,66,66,3,63.25564454100095,,,,63.25017133296933,63.86272520804778,64.13023966597393,right,0.2584796668961644,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,-1,8,67,67,0,left,0.4194695829646662,None,0,67,67,53,64.13602191605605,,,,64.13143079099245,64.72968429105822,65.15176520799287,left,0.4194695829646662,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,1,4,68,68,0,left,0.4347438750555739,None,0,68,68,30,65.1620791250607,,,,65.15396837505978,65.7504162080586,66.19793358305469,left,0.4347438750555739,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,-1,2,69,69,0,right,0.20541045791469514,None,0,69,69,25,66.20636416599154,,,,66.20002954103984,66.79568666603882,67.01345629105344,right,0.20541045791469514,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,1,1,70,0,1,left,0.3324209999991581,None,1,0,70,4,67.01993804099038,,,,67.0149093749933,67.61168099998031,67.94644937501289,left,0.3324209999991581,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,1,8,71,1,1,right,0.272716791019775,None,1,1,71,45,67.95180170808453,,,,67.94796737504657,68.53438895801082,68.8145123750437,right,0.272716791019775,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,1,16,72,2,1,right,0.33871574990916997,None,1,2,72,59,68.82169175008312,,,,68.81701795803383,69.41236408299301,69.7636012500152,right,0.33871574990916997,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,-1,8,73,3,1,left,0.18268962495494634,None,1,3,73,54,69.77008008304983,,,,69.7653844159795,70.3624018750852,70.54802083305549,left,0.18268962495494634,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,-1,1,74,4,1,left,0.18904304190073162,None,1,4,74,11,70.55522087507416,,,,70.55018366605509,71.14598949998617,71.3484011250548,left,0.18904304190073162,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,-1,16,75,5,1,left,0.7542368751019239,None,1,5,75,64,71.35781079099979,,,,71.35119375004433,71.94572879106272,72.7018352909945,left,0.7542368751019239,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,-1,4,76,6,1,left,0.11478675005491823,None,1,6,76,37,72.71118212502915,,,,72.7041179999942,73.3002289159922,73.4182391660288,left,0.11478675005491823,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,-1,4,77,7,1,left,0.20169349992647767,None,1,7,77,35,73.42866491607856,,,,73.42061687505338,74.01631125004496,74.2304267080035,left,0.20169349992647767,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,1,16,78,8,1,right,0.34460233291611075,None,1,8,78,58,74.23674829106312,,,,74.23218024999369,74.82930691598449,75.18023100006394,right,0.34460233291611075,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,-1,1,79,9,1,left,0.2976405000081286,None,1,9,79,8,75.18565374996979,,,,75.18179908301681,75.77824949997012,76.07959700003266,left,0.2976405000081286,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,1,2,80,10,1,left,0.503577540977858,None,1,10,80,16,76.08692633302417,,,,76.08108195802197,76.66735979099758,77.18152220803313,left,0.503577540977858,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,1,2,81,11,1,left,0.38366487494204193,None,1,11,81,17,77.19028025004081,,,,77.18370045803022,77.77917416603304,78.16588879097253,left,0.38366487494204193,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,-1,16,82,12,1,left,0.16057912504766136,None,1,12,82,68,78.17889724997804,,,,78.16827683302108,78.76234262506478,78.93125483300537,left,0.16057912504766136,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,1,2,83,13,1,left,0.1819167920621112,None,1,13,83,14,78.93965050007682,,,,78.93329458299559,79.52991366607603,79.71503304108046,left,0.1819167920621112,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,1,16,84,14,1,right,0.1847239169292152,None,1,14,84,62,79.72390275006182,,,,79.7173110410804,80.31307704106439,80.50166020798497,right,0.1847239169292152,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,-1,1,85,15,1,left,0.842453790945001,None,1,15,85,9,80.51203316601459,,,,80.50330516602844,81.10037362505682,81.94836012506858,left,0.842453790945001,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,1,4,86,16,1,right,0.7009190409444273,None,1,16,86,32,81.95710637501907,,,,81.95050108304713,82.56278437504079,83.26731516607106,right,0.7009190409444273,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,1,1,87,17,1,left,0.40042770793661475,None,1,17,87,0,83.277977416059,,,,83.26903704099823,83.86633216601331,84.26819791598246,left,0.40042770793661475,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,-1,8,88,18,1,left,0.4143099579960108,None,1,18,88,55,84.27784287498798,,,,84.2696959580062,84.86240062501747,85.28182612499222,left,0.4143099579960108,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,1,1,89,19,1,left,0.4523058329941705,None,1,19,89,3,85.29157975001726,,,,85.2841499580536,85.87935362500139,86.33525970799383,left,0.4523058329941705,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,-1,8,90,20,1,left,0.42837104201316833,None,1,20,90,53,86.34448845800944,,,,86.33786604099441,86.93425429100171,87.36896429106127,left,0.42837104201316833,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,1,8,91,21,1,right,0.42270474904216826,None,1,21,91,44,87.37870145798661,,,,87.37149212497752,87.96709570800886,88.39807566604577,right,0.42270474904216826,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,-1,2,92,22,1,left,0.39319254097063094,None,1,22,92,26,88.40617895801552,,,,88.40040916600265,88.99559537507594,89.39790870808065,left,0.39319254097063094,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,1,1,93,23,1,right,0.3389479999896139,None,1,23,93,6,89.40682479098905,,,,89.40030833298806,89.99563804105856,90.34761166607495,right,0.3389479999896139,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
