contrast,location,cpd,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,response.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.007121291011571884,5.774529958027415,,,,,,,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,1,4,0,0,0,left,0.737854624981992,None,0,0,0,32,5.788581707980484,,,,5.782637291005813,6.369906458072364,7.114762791083194,left,0.737854624981992,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,1,8,1,1,0,right,0.3630972079699859,None,0,1,1,46,7.123210750054568,,,,7.117096457979642,7.712434375076555,8.081278415978886,right,0.3630972079699859,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,-1,8,2,2,0,right,0.33241437491960824,None,0,2,2,49,8.087721750023775,,,,8.08269625005778,8.680069666006602,9.0148837500019,right,0.33241437491960824,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,1,8,3,3,0,right,0.19913691701367497,None,0,3,3,43,9.032114166067913,,,,9.017233874998055,9.612355165998451,9.813273541047238,right,0.19913691701367497,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,1,4,4,4,0,right,0.1971129160374403,None,0,4,4,34,9.819221041048877,,,,9.814531499985605,10.411350833019242,10.613106750068255,right,0.1971129160374403,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,-1,4,5,5,0,left,0.04717895807698369,None,0,5,5,39,10.618462415994145,,,,10.614485166035593,11.211341415997595,11.26346512499731,left,0.04717895807698369,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,1,16,6,6,0,left,0.3199869580566883,None,0,6,6,56,11.27018804103136,,,,11.265301958075725,11.862428999971598,12.185467540984973,left,0.3199869580566883,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,-1,8,7,7,0,left,0.11097974900621921,None,0,7,7,54,12.195356916054152,,,,12.187017625081353,12.78345674998127,12.89807658304926,left,0.11097974900621921,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,1,2,8,8,0,right,0.13325845799408853,None,0,8,8,15,12.905627625063062,,,,12.899723833077587,13.496120374999009,13.63120391604025,right,0.13325845799408853,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,1,16,9,9,0,right,0.01599374902434647,None,0,9,9,62,13.64602304098662,,,,13.633216415997595,14.229398916009814,14.247727832989767,right,0.01599374902434647,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,-1,16,10,10,0,right,0.14180329197552055,None,0,10,10,65,14.256155541050248,,,,14.2498768750811,14.845653707976453,14.997539083007723,right,0.14180329197552055,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,1,1,11,11,0,right,0.018588208011351526,None,0,11,11,5,15.00662962498609,,,,14.99971383297816,15.612738708034158,15.634179249987938,right,0.018588208011351526,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,1,1,12,12,0,right,0.22651412500999868,None,0,12,12,1,15.645484708016738,,,,15.636654625064693,16.228979000006802,16.465518790995702,right,0.22651412500999868,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,-1,4,13,13,0,left,0.04577074991539121,None,0,13,13,38,16.47435916599352,,,,16.467647750047036,17.062492083059624,17.114354375051335,left,0.04577074991539121,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,1,8,14,14,0,right,0.1437657920178026,None,0,14,14,45,17.120826125028543,,,,17.11660645797383,17.716548125026748,17.86492825008463,right,0.1437657920178026,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,1,2,15,15,0,left,0.1997244170634076,None,0,15,15,16,17.872876000008546,,,,17.86697400000412,18.461514833034016,18.662879375042394,left,0.1997244170634076,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,-1,8,16,16,0,left,0.524603542056866,None,0,16,16,51,18.66841179097537,,,,18.66441600001417,19.261646625003777,19.797591708018444,left,0.524603542056866,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,-1,2,17,17,0,left,0.5284427079604939,None,0,17,17,24,19.80616820801515,,,,19.799701208015904,20.395778250065632,20.93216820806265,left,0.5284427079604939,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,-1,4,18,18,0,left,0.6281277080997825,None,0,18,18,36,20.94100808305666,,,,20.93462262500543,21.52921983296983,22.164362624986097,left,0.6281277080997825,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,1,4,19,19,0,left,0.8136004999978468,None,0,19,19,31,22.17045874998439,,,,22.16597041604109,22.762563416035846,23.58162320801057,left,0.8136004999978468,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,-1,1,20,20,0,left,0.351847333018668,None,0,20,20,7,23.589793832972646,,,,23.583648915984668,24.19635158299934,24.56466224999167,left,0.351847333018668,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,-1,16,21,21,0,right,0.22614458296447992,None,0,21,21,66,24.5793071660446,,,,24.566705666016787,25.16194183297921,25.395933541003615,right,0.22614458296447992,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,1,2,22,22,0,right,0.06550641602370888,None,0,22,22,19,25.400840874994174,,,,25.39715633308515,25.996592083014548,26.065176874981262,right,0.06550641602370888,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-08,-1,2,23,23,0,right,0.26539562502875924,None,0,23,23,21,26.078159208060242,,,,26.065719458041713,26.661666375002824,26.930166041012853,right,0.26539562502875924,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,1,2,24,24,0,left,0.12128291698172688,None,0,24,24,17,26.936145625077188,,,,26.931670624995604,27.528747541015036,27.664053000044078,left,0.12128291698172688,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,-1,1,25,25,0,right,0.2057367489906028,None,0,25,25,10,27.672930791042745,,,,27.66604520799592,28.262361207976937,28.48130616603885,right,0.2057367489906028,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,1,16,26,26,0,left,0.4959858750225976,None,0,26,26,57,28.495733875082806,,,,28.483686625026166,29.096149165998213,29.597865291056223,left,0.4959858750225976,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,1,16,27,27,0,right,0.2554023740813136,None,0,27,27,58,29.60628608299885,,,,29.600052583031356,30.196596166002564,30.46488650003448,right,0.2554023740813136,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,1,4,28,28,0,right,0.15655320801306516,None,0,28,28,29,30.47373395797331,,,,30.467159833060578,31.0624030000763,31.230143708060496,right,0.15655320801306516,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.01,-1,16,29,29,0,left,0.40292862500064075,None,0,29,29,67,31.235612666001543,,,,31.23169375001453,31.82998787506949,32.24655983306002,left,0.40292862500064075,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.001,1,16,30,30,0,right,0.015117707895115018,None,0,30,30,59,32.252536625019275,,,,32.247933333041146,32.83381837501656,32.851286375080235,right,0.015117707895115018,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,-1,1,31,31,0,left,0.16001562494784594,None,0,31,31,12,32.86282762500923,,,,32.85349037498236,33.44905854098033,33.6156457910547,left,0.16001562494784594,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,-1,2,32,32,0,left,1.047873083036393,None,0,32,32,27,33.624698415980674,,,,33.618090208037756,34.21203275001608,35.262830874999054,left,1.047873083036393,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,1,16,33,33,0,right,0.24318195809610188,None,0,33,33,61,35.268484957981855,,,,35.2641241250094,35.86269179102965,36.11475883307867,right,0.24318195809610188,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,-1,1,34,34,0,left,0.32694058294873685,None,0,34,34,13,36.12254762498196,,,,36.11688554100692,36.712114040972665,37.04859970801044,left,0.32694058294873685,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1e-06,-1,8,35,35,0,left,0.10333604109473526,None,0,35,35,50,37.056510625057854,,,,37.05089370801579,37.64548020798247,37.75215966603719,left,0.10333604109473526,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.1,1,8,36,36,0,right,0.1319193330127746,None,0,36,36,47,37.761168500059284,,,,37.75495387497358,38.348929375060834,38.48630308301654,right,0.1319193330127746,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
0.0001,1,8,37,37,0,right,0.17669287498574704,None,0,37,37,44,38.49447425000835,,,,38.4882849160349,39.09623491601087,39.28165641601663,right,0.17669287498574704,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,1,2,38,38,0,right,0.03670374897774309,None,0,38,38,20,39.289754958008416,,,,39.28398470801767,39.87908145796973,39.91839250002522,right,0.03670374897774309,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
1.0,-1,8,39,39,0,left,0.12719479098450392,None,0,39,39,55,39.928894000011496,,,,39.92053595802281,40.517567291040905,40.65095529099926,left,0.12719479098450392,None,demo,001,2025-02-03_14h11.15.662,contrast_sensitivity,2024.2.4,None,2025-02-03 14h11.22.738845 -0500,
