contrast,location,n_cycles,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,response.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,0.006652084,0.9779440419515595,,,,,,,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
0.0001,-1,1,0,0,0,left,1.2897239989833906,None,0,0,0,9,0.991225834,,,,0.9861067089950666,1.5737308339448646,2.875034875003621,left,1.2897239989833906,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
0.1,-1,4,1,1,0,left,0.4633115000324324,None,0,1,1,40,2.8806895839516073,,,,2.876522250007838,3.4730997919104993,3.9416955419583246,left,0.4633115000324324,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
0.001,-1,16,2,2,0,left,0.30719262501224875,None,0,2,2,66,3.953251749975607,,,,3.9434831669786945,4.528348958934657,4.843101791921072,left,0.30719262501224875,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
1e-06,1,4,3,3,0,left,0.2955249169608578,None,0,3,3,29,4.851428833906539,,,,4.845503250020556,5.440804208978079,5.7412305,left,0.2955249169608578,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
0.1,1,1,4,4,0,right,0.2208291239803657,None,0,4,4,5,5.746317041921429,,,,5.742609958979301,6.326600999920629,6.559878959,right,0.2208291239803657,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
1e-08,1,2,5,5,0,left,0.3019769580569118,None,0,5,5,14,6.567918459,,,,6.562165749957785,7.157311124959961,7.476144584012218,left,0.3019769580569118,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
0.0001,-1,8,6,6,0,left,0.082898208,None,0,6,6,51,7.490785249974579,,,,7.478364542,8.091378999990411,8.176131792017259,left,0.082898208,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
1,-1,16,7,7,0,left,0.1531914999941364,None,0,7,7,69,8.184971874929033,,,,8.178134874906391,8.774052374996245,8.929931083926931,left,0.1531914999941364,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
1e-06,-1,1,8,8,0,left,0.090882458,None,0,8,8,8,8.940364666981623,,,,8.932365917018615,9.528479125001468,9.626323999953456,left,0.090882458,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
0.001,1,1,9,9,0,left,0.15300208295229822,None,0,9,9,3,9.633335708989762,,,,9.628428416908719,10.224215124966577,10.380497584003024,left,0.15300208295229822,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
0.1,1,16,10,10,0,right,0.15439245803281665,None,0,10,10,61,10.390364583930932,,,,10.382821499952115,10.97682379197795,11.142304083914496,right,0.15439245803281665,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
1,-1,1,11,11,0,left,0.089438125,None,0,11,11,13,11.148489209008403,,,,11.143975624931045,11.739787541911937,11.841252208920196,left,0.089438125,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
1e-08,-1,1,12,12,0,left,0.051342040998861194,None,0,12,12,7,11.846559749916196,,,,11.84273466700688,12.428857458988205,12.493133625015616,left,0.051342040998861194,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
1e-08,1,8,13,13,0,left,0.066188541,None,0,13,13,42,12.507327583967708,,,,12.494604041916318,13.090978541993536,13.160203874926083,left,0.066188541,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
0.01,-1,1,14,14,0,left,0.26861766597721726,None,0,14,14,11,13.167980208992958,,,,13.162171499920078,13.75751849997323,14.030361959012225,left,0.26861766597721726,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
1e-06,-1,8,15,15,0,left,0.072981208,None,0,15,15,50,14.040388458990492,,,,14.032593666925095,14.628185209003277,14.709189584013075,left,0.072981208,None,demo,001,2025-02-03_14h23.25.595,contrast_sensitivity,2024.2.4,None,2025-02-03 14h23.30.336431 -0500
