contrast,location,cpd,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,response.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.009002167033031583,0.9888919999357313,,,,,,,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.0001,-1,8,0,0,0,left,0.5306150410324335,None,0,0,0,51,1.0018404580187052,,,,0.9961494170129299,1.5952538750134408,2.130489749950357,left,0.5306150410324335,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.01,1,8,1,1,0,left,0.3495745420223102,None,0,1,1,46,2.138709250022657,,,,2.132845332962461,2.7451498330337927,3.0978128749411553,left,0.3495745420223102,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.1,1,16,2,2,0,right,0.3368062499212101,None,0,2,2,61,3.116946541937068,,,,3.0997843330260366,3.694794666953385,4.034781374968588,right,0.3368062499212101,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
1e-06,-1,1,3,3,0,left,0.3155020410194993,None,0,3,3,8,4.044890583027154,,,,4.03717616701033,4.633063249988481,4.950794582953677,left,0.3155020410194993,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.0001,-1,4,4,4,0,left,0.11532129195984453,None,0,4,4,37,4.961732042022049,,,,4.952412375016138,5.545233707991429,5.6644246249925345,left,0.11532129195984453,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
1e-08,-1,4,5,5,0,left,0.17126812494825572,None,0,5,5,35,5.671613708022051,,,,5.666608957923017,6.261215582955629,6.445941166952252,left,0.17126812494825572,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
1.0,1,16,6,6,0,right,0.13840087491553277,None,0,6,6,62,6.451925041968934,,,,6.447380124940537,7.044104082975537,7.196161875035614,right,0.13840087491553277,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.001,-1,2,7,7,0,left,0.08050141599960625,None,0,7,7,24,7.20286145794671,,,,7.197942749946378,7.782994874985889,7.881024000002071,left,0.08050141599960625,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
1e-08,-1,1,8,8,0,left,0.3272305829450488,None,0,8,8,7,7.89537558297161,,,,7.883149625035003,8.478429042035714,8.81470566696953,left,0.3272305829450488,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.0001,1,4,9,9,0,left,0.23266158299520612,None,0,9,9,30,8.82855220802594,,,,8.817021291935816,9.412767582922243,9.65153337502852,left,0.23266158299520612,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
1.0,1,4,10,10,0,right,0.04580195795278996,None,0,10,10,34,9.661645332933404,,,,9.65356124995742,10.2496534580132,10.301439082948491,right,0.04580195795278996,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.1,-1,16,11,11,0,left,0.14815754094161093,None,0,11,11,68,10.311554083018564,,,,10.30415795801673,10.900283208000474,11.062261499930173,left,0.14815754094161093,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.1,1,2,12,12,0,right,0.9604785410920158,None,0,12,12,19,11.067357416963205,,,,11.063418624922633,11.649978499975987,12.615001625032164,right,0.9604785410920158,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
1e-08,1,2,13,13,0,left,0.5919573330320418,None,0,13,13,14,12.628518791985698,,,,12.61751829192508,13.211571499938145,13.813791916938499,left,0.5919573330320418,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.001,1,1,14,14,0,left,0.3734130000229925,None,0,14,14,3,13.820506624993868,,,,13.81563579197973,14.41090641694609,14.795732749975286,left,0.3734130000229925,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.0001,-1,2,15,15,0,left,0.15935454098507762,None,0,15,15,23,14.800674541969784,,,,14.797074166941456,15.39516862493474,15.564117457950488,left,0.15935454098507762,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.0001,-1,1,16,16,0,left,0.1464442500146106,None,0,16,16,9,15.571626791963354,,,,15.566535125020891,16.16201429197099,16.314470416982658,left,0.1464442500146106,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.001,1,4,17,17,0,left,0.17139074997976422,None,0,17,17,31,16.32189424999524,,,,16.31682191696018,16.91184787498787,17.09782679192722,left,0.17139074997976422,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
1e-06,-1,8,18,18,0,left,0.14334945799782872,None,0,18,18,50,17.104867874993943,,,,17.099890667013824,17.696137416991405,17.8474472919479,left,0.14334945799782872,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
1e-06,1,4,19,19,0,left,0.17735166708007455,None,0,19,19,29,17.85604795801919,,,,17.849848916986957,18.448886124999262,18.630691417027265,left,0.17735166708007455,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
1.0,-1,2,20,20,0,left,0.040786874014884233,None,0,20,20,27,18.64516591699794,,,,18.631974957999773,19.22852583299391,19.280524792033248,left,0.040786874014884233,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
0.1,-1,2,21,21,0,left,0.045771083096042275,None,0,21,21,26,19.287529457942583,,,,19.282718417001888,19.878514582989737,19.929552749963477,left,0.045771083096042275,None,demo,001,2025-02-03_14h57.04.486,contrast_sensitivity,2024.2.4,None,2025-02-03 14h57.12.349030 -0500,
