contrast,location,n_cycles,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,begin_experiment.started,begin_experiment.stopped,trial.started,response.started,trial.stopped,trials.response.keys,trials.response.rt,trials.response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,0.007427708,1.1034711670363322,,,,,,,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.1,-1,1,0,0,0,left,0.3988274580333382,None,0,0,0,12,1.1176474581006914,,,,1.1114616250852123,1.6985766669968143,2.111067667021416,left,0.3988274580333382,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
1,-1,2,1,1,0,left,0.31996991706546396,None,0,1,1,27,2.1169928750023246,,,,2.1125285420566797,2.6984720421023667,3.0285437080310658,left,0.31996991706546396,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.0001,-1,2,2,2,0,left,0.3616174169583246,None,0,2,2,23,3.044495000038296,,,,3.030694500077516,3.6268268330022693,3.995350750046782,left,0.3616174169583246,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.001,-1,8,3,3,0,left,0.3107771660434082,None,0,3,3,52,4.004365333006717,,,,3.997468125075102,4.593673499999568,4.912362958071753,left,0.3107771660434082,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.0001,-1,16,4,4,0,left,0.43162574898451567,None,0,4,4,65,4.920758167048916,,,,4.914443458081223,5.5106703750789165,5.945459083,left,0.43162574898451567,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.1,-1,16,5,5,0,left,0.2777270410442725,None,0,5,5,68,5.953790917061269,,,,5.947479833033867,6.543614792,6.8297152920858935,left,0.2777270410442725,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
1e-08,-1,2,6,6,0,left,0.450272249,None,0,6,6,21,6.838058042,,,,6.83218,7.426956875016913,7.883515875088051,left,0.450272249,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.001,1,2,7,7,0,right,0.22327070799656212,None,0,7,7,17,7.893202375038527,,,,7.885678375023417,8.482005875,8.712004625005648,right,0.22327070799656212,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.001,1,4,8,8,0,right,0.2990921239834279,None,0,8,8,31,8.720046417,,,,8.713940917048603,9.310184750007465,9.611630333,right,0.2990921239834279,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.0001,-1,8,9,9,0,left,0.26571749907452613,None,0,9,9,51,9.617644167039543,,,,9.613164458074607,10.209460583049804,10.478126042056829,left,0.26571749907452613,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.01,-1,4,10,10,0,left,0.21224587503820658,None,0,10,10,39,10.48548087500967,,,,10.479914750088938,11.076953542069532,11.299074417096563,left,0.21224587503820658,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.1,1,2,11,11,0,right,0.10678491601720452,None,0,11,11,19,11.310375833068974,,,,11.300391625030898,11.898449875065126,12.012075542006642,right,0.10678491601720452,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.1,1,8,12,12,0,right,0.18196179100777954,None,0,12,12,47,12.019255875027739,,,,12.014429125003517,12.611189792049117,12.798757625045255,right,0.18196179100777954,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.01,1,4,13,13,0,right,0.13743887504097074,None,0,13,13,32,12.809814708074555,,,,12.799813333083875,13.410640125046484,13.549776875064708,right,0.13743887504097074,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.001,1,8,14,14,0,right,0.2705405419692397,None,0,14,14,45,13.559998250100762,,,,13.551788542070426,14.147676667082123,14.428942833095789,right,0.2705405419692397,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.01,-1,1,15,15,0,left,0.24725149990990758,None,0,15,15,11,14.438059375039302,,,,14.431551125016995,15.043871125089936,15.295743250055239,left,0.24725149990990758,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
1,1,4,16,16,0,right,0.082961583,None,0,16,16,34,15.310182792018168,,,,15.29806025000289,15.910442333086394,15.996063792030327,right,0.082961583,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
1e-08,1,8,17,17,0,right,0.18665849999524653,None,0,17,17,42,16.004748292034492,,,,15.99834750010632,16.593375666998327,16.783762042061426,right,0.18665849999524653,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
0.01,1,2,18,18,0,right,0.14813799900002778,None,0,18,18,18,16.793175333063118,,,,16.78544700006023,17.39392579207197,17.545343125006184,right,0.14813799900002778,None,demo,001,2025-02-03_14h39.59.865,contrast_sensitivity,2024.2.4,None,2025-02-03 14h40.06.863954 -0500
